User Rating,User Review,User Name,Review Date,DateOfReview,FinalText,FinalTextSentimentNegative,FinalTextSentimentPositive,FinalTextSentimentNeutral,FinalTextSentimentCompound,FinalTextSentiment,UserReviewSentimentNegative,UserReviewSentimentPositive,UserReviewSentimentNeutral,UserReviewSentimentCompound,UserReviewSentiment
5.0,"perfect pressure cooker it is amazing set and very easy to cook and also easy to clean, perfect quality ",Flipkart Customer,"Mar, 2019",2019-03-04,perfect pressure cooker amazing set easy cook also easy clean perfect quality,0.082,0.732,0.186,0.9552,pos,0.064,0.585,0.351,0.9571,pos
5.0,It's awesome quality and super product. If we compare with quality Price is very very low for this item... I love this product...,Sheik Fareed,"Feb, 2019",2019-02-04,It awesome quality super product If compare quality Price low item I love product,0.086,0.502,0.412,0.9022,pos,0.079,0.36,0.561,0.8892,pos
4.0,"Good looking, seems to be steady. Not yet used, good quality and space as per size. Still a scope of improvement, as handle quality is not as good as other reputed brands has",Flipkart Customer,9months ago,2019-11-04,Good look seem steady Not yet use good quality space per size Still scope improvement handle quality good repute brand,0.088,0.323,0.588,0.7502,pos,0.121,0.149,0.73,0.2705,pos
3.0,"This cooker sett is good but handle is very small, comparing to prestige cooker sett , prestige is little bit better for my opinion. That's it.",Dina karan,8months ago,2019-12-04,This cooker sett good handle small comparing prestige cooker sett prestige little bit well opinion That,0.0,0.252,0.748,0.575,pos,0.0,0.183,0.817,0.6578,pos
5.0,"I was ordered this cooker for my mom with Rs.750/- during big billion days & the design, built quality & performance is excellent.Butterfly is just like MI phones means cheaper in price & excellent in performance.Hope Butterfly continue making their products as such.",Techno Faiz,9months ago,2019-11-04,I order cooker mom Rs 750 big billion day design build quality performance excellent Butterfly like MI phone mean cheap price excellent performance Hope Butterfly continue make product,0.0,0.348,0.652,0.9153,pos,0.0,0.131,0.869,0.7351,pos
3.0,wow good delivery boy good service thank you,Shwetha C,9months ago,2019-11-04,wow good delivery boy good service thank,0.0,0.801,0.199,0.9022,pos,0.0,0.752,0.248,0.9022,pos
4.0,"good product got a clean piece,only disadvantage is obli two closing lif is provided and i feel the weights are below average quality and delivery was quick enough and packaging was great will post the detailed review after using it for a wile and most important thing i notice that the lid for 2l and 3l was bit loose",Krishna kumar.u,10months ago,2019-10-04,good product get clean piece disadvantage obli two closing lif provide feel weight average quality delivery quick enough packaging great post detailed review use wile important thing notice lid 2l 3l bit loose,0.117,0.264,0.619,0.7506,pos,0.073,0.169,0.758,0.7713,pos
4.0,"fantastic cooker quality, working properly and easy to clean up. only one thing is used to be inappropriate that is written on 3L pressure cooker capacity but it holds only 2.5L capacity.",anurag singh,10months ago,2019-10-04,fantastic cooker quality work properly easy clean one thing use inappropriate write 3L pressure cooker capacity hold 2 5L capacity,0.08,0.336,0.584,0.7906,pos,0.045,0.171,0.784,0.5423,pos
5.0,this is [☆☆☆ SI☆ ☆☆]  mark product..nice and good quality and most is value for money....it great filpkart thank you so much. pass frand go for this product.,Akshay Ghone,11months ago,2019-09-04,SI mark product nice good quality value money great filpkart thank much pas frand go product,0.0,0.572,0.428,0.9287,pos,0.0,0.337,0.663,0.9038,pos
4.0,"Best  good service, good Product, thank you for cort",RAJA PANJABIKESAN,11months ago,2019-09-04,Best good service good Product thank cort,0.0,0.806,0.194,0.91,pos,0.0,0.714,0.286,0.91,pos
5.0,Best price. And good quality. Very fast delivery. Amazing. Thank you fill cart,mani kannan,"Jul, 2019",2019-07-04,Best price And good quality Very fast delivery Amazing Thank fill cart,0.0,0.631,0.369,0.9282,pos,0.0,0.603,0.397,0.9282,pos
5.0,very nice product thank you so much Flipkart I am very happy product is very good,Priya  Tripathi ,"Jul, 2019",2019-07-04,nice product thank much Flipkart I happy product good,0.0,0.704,0.296,0.8979,pos,0.0,0.521,0.479,0.9192,pos
4.0,good product came up with good covering sellers responds good but only  draw back is it has only 2 lids and 2 whistles... for three cookers..... specially i don't know what operating system the preoperating system of 2L cooker..... just for fun..... thank you tipcart,santhosh  kumar. v,"May, 2019",2019-05-04,good product come good cover seller respond good draw back 2 lid 2 whistle three cooker specially know operate system preoperating system 2L cooker fun thank tipcart,0.0,0.397,0.603,0.926,pos,0.0,0.253,0.747,0.9109,pos
5.0,Very good product... Must buy all... Best price ever... We used it and wonderful cooker... Good material...,Flipkart Customer,"Dec, 2018",2018-12-04,Very good product Must buy Best price ever We use wonderful cooker Good material,0.0,0.583,0.417,0.9324,pos,0.0,0.518,0.482,0.9324,pos
5.0,The to Skart person Mr. Ruth for real delivered d product in good condition... Got d Nice one in excellent rate,Flipkart Customer,"Dec, 2018",2018-12-04,The Skart person Mr Ruth real deliver product good condition Got Nice one excellent rate,0.0,0.439,0.561,0.8555,pos,0.0,0.343,0.657,0.8555,pos
5.0,Nice. Product,Flipkart Customer,"Jan, 2019",2019-01-04,Nice Product,0.0,0.737,0.263,0.4215,pos,0.0,0.737,0.263,0.4215,pos
4.0,super .....,Flipkart Customer,"Dec, 2018",2018-12-04,super,0.0,1.0,0.0,0.5994,pos,0.0,0.796,0.204,0.5994,pos
5.0,"I am fully satisfied with your product..thank hush Flipkart..,,,",Danish  Khan,"Jan, 2019",2019-01-04,I fully satisfy product thank hush Flipkart,0.0,0.548,0.452,0.7233,pos,0.0,0.279,0.721,0.4754,pos
3.0,very satisfied with delivery,Flipkart Customer,"Dec, 2018",2018-12-04,satisfied delivery,0.0,0.737,0.263,0.4215,pos,0.0,0.508,0.492,0.4754,neu
5.0,Good quality.best product outer lid pressure cooker.Thanks flipkart.,Mithilesh Giri,"Apr, 2019",2019-04-04,Good quality best product outer lid pressure cooker Thanks flipkart,0.121,0.549,0.33,0.8316,pos,0.198,0.261,0.541,0.1779,pos
5.0,good,Flipkart Customer,"Dec, 2018",2018-12-04,good,0.0,1.0,0.0,0.4404,pos,0.0,1.0,0.0,0.4404,pos
3.0,"Quality is good,  but small as 3l cooker.",Keshava,"Jan, 2019",2019-01-04,Quality good small 3l cooker,0.0,0.42,0.58,0.4404,pos,0.0,0.218,0.782,0.2382,pos
5.0,product delivered before time.. Well done.,Zahur Basha ,"Jan, 2019",2019-01-04,product deliver time Well do,0.0,0.344,0.656,0.2732,pos,0.0,0.296,0.704,0.2732,pos
4.0,nice cooker,Flipkart Customer,"May, 2019",2019-05-04,nice cooker,0.0,0.737,0.263,0.4215,pos,0.0,0.737,0.263,0.4215,pos
