User Rating,User Review,User Name,Review Date,DateOfReview,FinalText,FinalTextSentimentNegative,FinalTextSentimentPositive,FinalTextSentimentNeutral,FinalTextSentimentCompound,FinalTextSentiment,UserReviewSentimentNegative,UserReviewSentimentPositive,UserReviewSentimentNeutral,UserReviewSentimentCompound,UserReviewSentiment
4.0,good work and fast hot,Yogesh  Kumar,10months ago,2019-10-04,good work fast hot,0.0,0.492,0.508,0.4404,pos,0.0,0.42,0.58,0.4404,pos
4.0,Awesome product for the price. It's built is quite strong and heats the water in less than 5 minutes. Overall a good one from Butterfly.,Vin21,10months ago,2019-10-04,Awesome product price It build quite strong heat water less 5 minute Overall good one Butterfly,0.0,0.449,0.551,0.8908,pos,0.0,0.325,0.675,0.8908,pos
5.0,very nice product by butterfly it is works nice worth of money,Pashupati Nath Shukla,10months ago,2019-10-04,nice product butterfly works nice worth money,0.0,0.652,0.348,0.7579,pos,0.0,0.464,0.536,0.7778,pos
4.0,Thank you flip cart for delivering such a nice cattle.Looking nice and easy to use.I must recommend to all viewers please take,Flipkart Customer,11months ago,2019-09-04,Thank flip cart deliver nice cattle Looking nice easy use I must recommend viewer please take,0.0,0.612,0.388,0.93,pos,0.0,0.497,0.503,0.93,pos
5.0,Very nice product from Butterfly at a reasonable price on tipcart....It can take max of 3 minutes to heat the water...Very fast heating Kettle..Moved it!!️,Varun R Varu,11months ago,2019-09-04,Very nice product Butterfly reasonable price tipcart It take max 3 minute heat water Very fast heat Kettle Moved,0.0,0.147,0.853,0.4754,pos,0.0,0.133,0.867,0.5686,pos
4.0,it is les beautiful and I think it is a good product easy to handle it works faster go for it️,Flipkart Customer,"Jul, 2019",2019-07-04,les beautiful I think good product easy handle work faster go,0.0,0.548,0.452,0.8658,pos,0.0,0.35,0.65,0.8658,pos
4.0,Good product... Working properly.,Flipkart Customer,"Jul, 2019",2019-07-04,Good product Working properly,0.0,0.492,0.508,0.4404,pos,0.0,0.492,0.508,0.4404,pos
5.0,awesome,Srinu Balaji,"Apr, 2019",2019-04-04,awesome,0.0,1.0,0.0,0.6249,neu,0.0,1.0,0.0,0.6249,neu
3.0,handle gets heated.,Lakshmi,"Jun, 2019",2019-06-04,handle get heat,0.0,0.0,1.0,0.0,pos,0.0,0.0,1.0,0.0,pos
5.0,very very good kittle its automatic off when over heating,Manoj  Nadiyapara,11months ago,2019-09-04,good kittle automatic heating,0.0,0.492,0.508,0.4404,pos,0.0,0.278,0.722,0.5379,pos
4.0,good work and fast hot,Yogesh  Kumar,10months ago,2019-10-04,good work fast hot,0.0,0.492,0.508,0.4404,pos,0.0,0.42,0.58,0.4404,pos
4.0,Awesome product for the price. It's built is quite strong and heats the water in less than 5 minutes. Overall a good one from Butterfly.,Vin21,10months ago,2019-10-04,Awesome product price It build quite strong heat water less 5 minute Overall good one Butterfly,0.0,0.449,0.551,0.8908,pos,0.0,0.325,0.675,0.8908,pos
5.0,very nice product by butterfly it is works nice worth of money,Pashupati Nath Shukla,10months ago,2019-10-04,nice product butterfly works nice worth money,0.0,0.652,0.348,0.7579,pos,0.0,0.464,0.536,0.7778,pos
4.0,Thank you flip cart for delivering such a nice cattle.Looking nice and easy to use.I must recommend to all viewers please take,Flipkart Customer,11months ago,2019-09-04,Thank flip cart deliver nice cattle Looking nice easy use I must recommend viewer please take,0.0,0.612,0.388,0.93,pos,0.0,0.497,0.503,0.93,pos
5.0,Very nice product from Butterfly at a reasonable price on tipcart....It can take max of 3 minutes to heat the water...Very fast heating Kettle..Moved it!!️,Varun R Varu,11months ago,2019-09-04,Very nice product Butterfly reasonable price tipcart It take max 3 minute heat water Very fast heat Kettle Moved,0.0,0.147,0.853,0.4754,pos,0.0,0.133,0.867,0.5686,pos
4.0,it is les beautiful and I think it is a good product easy to handle it works faster go for it️,Flipkart Customer,"Jul, 2019",2019-07-04,les beautiful I think good product easy handle work faster go,0.0,0.548,0.452,0.8658,pos,0.0,0.35,0.65,0.8658,pos
4.0,Good product... Working properly.,Flipkart Customer,"Jul, 2019",2019-07-04,Good product Working properly,0.0,0.492,0.508,0.4404,pos,0.0,0.492,0.508,0.4404,pos
5.0,awesome,Srinu Balaji,"Apr, 2019",2019-04-04,awesome,0.0,1.0,0.0,0.6249,neu,0.0,1.0,0.0,0.6249,neu
3.0,handle gets heated.,Lakshmi,"Jun, 2019",2019-06-04,handle get heat,0.0,0.0,1.0,0.0,pos,0.0,0.0,1.0,0.0,pos
5.0,very very good kittle its automatic off when over heating,Manoj  Nadiyapara,11months ago,2019-09-04,good kittle automatic heating,0.0,0.492,0.508,0.4404,pos,0.0,0.278,0.722,0.5379,pos
5.0,"butterfly is always good but flipkart gives at a very low price, I bought for only 499, saved money",Ramya R,"Jul, 2019",2019-07-04,butterfly always good flipkart give low price I buy 499 save money,0.122,0.355,0.523,0.6124,pos,0.125,0.228,0.647,0.3737,pos
5.0,good,Flipkart Customer,9months ago,2019-11-04,good,0.0,1.0,0.0,0.4404,pos,0.0,1.0,0.0,0.4404,pos
4.0,nice,Rajesh Rajesh,"Jun, 2019",2019-06-04,nice,0.0,1.0,0.0,0.4215,pos,0.0,1.0,0.0,0.4215,pos
4.0,nice product...good working....,Shyne k K,"Apr, 2019",2019-04-04,nice product good working,0.0,0.74,0.26,0.6908,pos,0.0,0.583,0.417,0.4215,pos
5.0,Very good product.,subhankar BERA,2months ago,2020-06-04,Very good product,0.0,0.615,0.385,0.4927,pos,0.0,0.615,0.385,0.4927,pos
4.0,Good,Sunil kumar Sunil Kumar,6months ago,2020-02-04,Good,0.0,1.0,0.0,0.4404,pos,0.0,1.0,0.0,0.4404,pos
5.0,good one,Christy  J,6months ago,2020-02-04,good one,0.0,0.744,0.256,0.4404,pos,0.0,0.744,0.256,0.4404,pos
5.0,nice product heating effect is so fast...,Ankesh  Roushan,7months ago,2020-01-04,nice product heat effect fast,0.0,0.412,0.588,0.4215,pos,0.0,0.318,0.682,0.4215,pos
5.0,worth for money...,SUJAY N R,7months ago,2020-01-04,worth money,0.0,0.655,0.345,0.2263,pos,0.0,0.487,0.513,0.2263,pos
5.0,good,Flipkart Customer,7months ago,2020-01-04,good,0.0,1.0,0.0,0.4404,pos,0.0,1.0,0.0,0.4404,pos
5.0,nice,MANASH JYOTI DEKA,7months ago,2020-01-04,nice,0.0,1.0,0.0,0.4215,pos,0.0,1.0,0.0,0.4215,pos
5.0,worth for the money.,Flipkart Customer,7months ago,2020-01-04,worth money,0.0,0.655,0.345,0.2263,pos,0.0,0.388,0.612,0.2263,pos
3.0,started getting rust outside after 5months of use. heating is good and quick.,manu a s,7months ago,2020-01-04,start get rust outside 5months use heating good quick,0.0,0.266,0.734,0.4404,pos,0.0,0.195,0.805,0.4404,pos
4.0,very good,Girish Netrambaka,7months ago,2020-01-04,good,0.0,1.0,0.0,0.4404,pos,0.0,0.762,0.238,0.4927,pos
5.0,"Awesome, good product at affordable price",Lakshminarayanan B,7months ago,2020-01-04,Awesome good product affordable price,0.0,0.7,0.3,0.7906,pos,0.0,0.636,0.364,0.7906,pos
5.0,very good,Flipkart Customer,7months ago,2020-01-04,good,0.0,1.0,0.0,0.4404,pos,0.0,0.762,0.238,0.4927,pos
5.0,good product,Flipkart Customer,7months ago,2020-01-04,good product,0.0,0.744,0.256,0.4404,pos,0.0,0.744,0.256,0.4404,pos
5.0,Nice product,Flipkart Customer,7months ago,2020-01-04,Nice product,0.0,0.737,0.263,0.4215,pos,0.0,0.737,0.263,0.4215,pos
5.0,delivery is very good,Flipkart Customer,7months ago,2020-01-04,delivery good,0.0,0.744,0.256,0.4404,pos,0.0,0.516,0.484,0.4927,pos
5.0,Very nice,Santoshi  Katiyar ,7months ago,2020-01-04,Very nice,0.0,0.756,0.244,0.4754,pos,0.0,0.756,0.244,0.4754,pos
5.0,nice product with great finish.,Flipkart Customer,7months ago,2020-01-04,nice product great finish,0.0,0.775,0.225,0.7845,pos,0.0,0.697,0.303,0.7845,pos
5.0,nice product,Debjit Chatterjee,8months ago,2019-12-04,nice product,0.0,0.737,0.263,0.4215,pos,0.0,0.737,0.263,0.4215,pos
5.0,Value for money,Lalji M,8months ago,2019-12-04,Value money,0.0,0.706,0.294,0.34,pos,0.0,0.545,0.455,0.34,pos
5.0,good product,Flipkart Customer,10months ago,2019-10-04,good product,0.0,0.744,0.256,0.4404,pos,0.0,0.744,0.256,0.4404,pos
4.0,good,HariHaran R,10months ago,2019-10-04,good,0.0,1.0,0.0,0.4404,pos,0.0,1.0,0.0,0.4404,pos
4.0,superb loved it,Jyothi Bhaskar V,"Jul, 2019",2019-07-04,superb love,0.0,1.0,0.0,0.8519,pos,0.0,0.889,0.111,0.8402,pos
