User Rating,User Review,User Name,Review Date,DateOfReview,FinalText,FinalTextSentimentNegative,FinalTextSentimentPositive,FinalTextSentimentNeutral,FinalTextSentimentCompound,FinalTextSentiment,UserReviewSentimentNegative,UserReviewSentimentPositive,UserReviewSentimentNeutral,UserReviewSentimentCompound,UserReviewSentiment
5.0,"Good product worth the money, its a small one compared to my old stove but its perfect in my space. It got a cute looks and works well, got delivered very fast, wishing it works well in future too. I have order for lighter too but its getting later to get delivered so now adjusting it with matchstick..",muhammed m rasheed,"Jun, 2019",2019-06-04,Good product worth money small one compare old stove perfect space It get cute look work well got deliver fast wish work well future I order light get later get deliver adjust matchstick,0.0,0.414,0.586,0.9468,pos,0.0,0.287,0.713,0.9613,pos
5.0,Thank you so much am very happy.....  What I seen in image I received the same and good quality. Thank you flipkart.......,Flipkart Customer,5months ago,2020-03-04,Thank much happy What I see image I receive good quality Thank flipkart,0.0,0.563,0.437,0.891,pos,0.0,0.398,0.602,0.8977,pos
5.0,it was really great looking has  nice  .... but I am not used today I am going to use ..... thank you flipkart,Flipkart Customer,"Feb, 2019",2019-02-04,really great look nice I use today I go use thank flipkart,0.0,0.525,0.475,0.8737,pos,0.0,0.282,0.718,0.7812,pos
4.0,nice and awesome good product rate from very wortheble product really awesome,Muralidharan  Indhumathi,7months ago,2020-01-04,nice awesome good product rate wortheble product really awesome,0.0,0.739,0.261,0.9348,pos,0.0,0.64,0.36,0.9348,pos
5.0,"excellent product , top brand, slim and speak design, durable , worth for this price...working fantastic...",Vivek Sankar,7months ago,2020-01-04,excellent product top brand slim speak design durable worth price work fantastic,0.0,0.579,0.421,0.875,pos,0.0,0.478,0.522,0.875,pos
5.0,Moved this product. Completely Justifying its value. Usage less space comparison to old Gas Stoves. Very easy to clean. Burner quality is also very good and the stand provided to put utensils for cooking is perfectly provided and giving perfect height. I am completely satisfied with this product at this price.,Vijay Raj Verma,7months ago,2020-01-04,Moved product Completely Justifying value Usage less space comparison old Gas Stoves Very easy clean Burner quality also good stand provide put utensil cooking perfectly provide give perfect height I completely satisfied product price,0.0,0.457,0.543,0.971,pos,0.0,0.371,0.629,0.9761,pos
5.0,excellent and economic product... just go for it.. keep maintaining the same standard as butterfly keeps as  long as ago... love it and awesome shopping in flipkart.. thanks to one and all for the greatest efforts during big billion days.,Pradeep Pradeep,9months ago,2019-11-04,excellent economic product go keep maintain standard butterfly keep long ago love awesome shopping flipkart thanks one great effort big billion day,0.0,0.528,0.472,0.9638,pos,0.0,0.353,0.647,0.9643,pos
5.0,"Good Quality, Early delivery . The glass top is beautiful, sleek, easy to clean. It is manual, buy a lighter",Vishnu  Thilakan ,10months ago,2019-10-04,Good Quality Early delivery The glass top beautiful sleek easy clean It manual buy lighter,0.0,0.587,0.413,0.9217,pos,0.0,0.486,0.514,0.9217,pos
5.0,Liked it. Good built quality. Burns quality a little disappointed. otherwise best product. My mom really liked it. thanks to seller and Ff,Ashik Basheer,11months ago,2019-09-04,Liked Good build quality Burns quality little disappointed otherwise best product My mom really like thank seller Ff,0.088,0.566,0.346,0.9349,pos,0.075,0.498,0.427,0.9421,pos
5.0,Excellent to product butterfly gas stove perfectly working all function shine glass edge is nice cutting,Velarasan ,11months ago,2019-09-04,Excellent product butterfly gas stove perfectly work function shine glass edge nice cut,0.096,0.491,0.413,0.8625,pos,0.062,0.442,0.496,0.8807,pos
5.0,"Good product worth the money, its a small one compared to my old stove but its perfect in my space. It got a cute looks and works well, got delivered very fast, wishing it works well in future too. I have order for lighter too but its getting later to get delivered so now adjusting it with matchstick..",muhammed m rasheed,"Jun, 2019",2019-06-04,Good product worth money small one compare old stove perfect space It get cute look work well got deliver fast wish work well future I order light get later get deliver adjust matchstick,0.0,0.414,0.586,0.9468,pos,0.0,0.287,0.713,0.9613,pos
5.0,Thank you so much am very happy.....  What I seen in image I received the same and good quality. Thank you flipkart.......,Flipkart Customer,5months ago,2020-03-04,Thank much happy What I see image I receive good quality Thank flipkart,0.0,0.563,0.437,0.891,pos,0.0,0.398,0.602,0.8977,pos
