Date,Open,High,Low,Close,Volume,- SPREAD -,
,,,,,,(High-Low),(Open-Close)
31-07-2020,120.9,123,118.3,118.85,48949,4.7,2.05
30-07-2020,123.2,123.75,120.2,120.9,33682,3.55,2.3
29-07-2020,123.5,125.05,122,122.5,42767,3.05,1
28-07-2020,124.25,125.55,122.5,122.95,39986,3.05,1.3
27-07-2020,128,129,122,123.55,61454,7,4.45
24-07-2020,127.25,132.7,125.45,128.25,96140,7.25,-1
23-07-2020,127.1,129.95,125.15,128.6,58092,4.8,-1.5
22-07-2020,129.4,132.4,126.1,128.6,313247,6.3,0.8
21-07-2020,126,126.5,122.5,122.7,70971,4,3.3
20-07-2020,128.15,129,123.2,124.8,55522,5.8,3.35
17-07-2020,123.9,130.6,123.25,128.15,227870,7.35,-4.25
16-07-2020,124.05,125.8,122,123.35,52591,3.8,0.7
15-07-2020,123,131.25,121.05,123.75,285736,10.2,-0.75
14-07-2020,123.05,126.7,121.35,122.45,43665,5.35,0.6
13-07-2020,125.2,127.5,122.05,123.6,54660,5.45,1.6
10-07-2020,127.1,129.35,124.25,125.15,48653,5.1,1.95
09-07-2020,128.3,130.75,127.5,128.35,37632,3.25,-0.05
08-07-2020,130.6,133.4,126.6,127.35,74261,6.8,3.25
07-07-2020,132.5,134.45,128.25,129.65,72557,6.2,2.85
06-07-2020,134.55,134.95,132.1,132.4,63740,2.85,2.15
03-07-2020,136.9,137.3,132.5,133.2,88845,4.8,3.7
02-07-2020,135.2,141.75,134.2,136.05,221644,7.55,-0.85
01-07-2020,134.3,137,132.95,134.05,60304,4.05,0.25
30-06-2020,136.65,139.7,132,133.35,150949,7.7,3.3
29-06-2020,139.3,140.7,132.8,136.3,203073,7.9,3
26-06-2020,131.8,142.45,131.8,138.4,595448,10.65,-6.6
25-06-2020,131.6,137.5,128.6,131.05,123852,8.9,0.55
24-06-2020,137.8,142.5,132,133.05,387217,10.5,4.75
23-06-2020,131.8,139.4,128,136.85,282225,11.4,-5.05
22-06-2020,132,134.75,129,130.95,171460,5.75,1.05
19-06-2020,123.6,132.85,123.55,131.7,424129,9.3,-8.1
18-06-2020,119.05,124.35,119,122.75,129886,5.35,-3.7
17-06-2020,117.25,121.2,116.75,118.2,90366,4.45,-0.95
16-06-2020,123,125,116.05,116.95,251009,8.95,6.05
15-06-2020,125.15,125.8,120,120.75,147318,5.8,4.4
12-06-2020,128.1,130.8,118.3,126.6,342922,12.5,1.5
11-06-2020,129.85,137.8,128.15,133.45,342863,9.65,-3.6
10-06-2020,129.4,134.9,127.9,130.1,208344,7,-0.7
09-06-2020,127.35,138,125.45,128.1,399272,12.55,-0.75
08-06-2020,129.05,132.4,126,126.45,200516,6.4,2.6
05-06-2020,127.2,131.8,123.95,125.6,186482,7.85,1.6
04-06-2020,125,132,122,125.3,232232,10,-0.3
03-06-2020,116,134.4,113.95,123.1,741118,20.45,-7.1
02-06-2020,115,117.2,110.45,113.65,105598,6.75,1.35
01-06-2020,113.8,118.5,111.65,113.7,201395,6.85,0.1
29-05-2020,108.2,111.8,108.2,109.55,72959,3.6,-1.35
28-05-2020,112.5,116.95,107,108.1,233879,9.95,4.4
27-05-2020,100.9,119,99.4,112.2,869906,19.6,-11.3
26-05-2020,101.6,101.6,98.85,99.2,12121,2.75,2.4
22-05-2020,100.4,101.85,98.3,98.65,23763,3.55,1.75
21-05-2020,100.75,103.05,99.8,100.4,24066,3.25,0.35
20-05-2020,100.95,102,99,100.1,24829,3,0.85
19-05-2020,99.75,102.6,97.8,101.1,41554,4.8,-1.35
18-05-2020,102,102,96.45,98.05,38741,5.55,3.95
15-05-2020,103.9,104,101,101.7,26993,3,2.2
14-05-2020,101.65,106,100.85,104,53963,5.15,-2.35
13-05-2020,104.9,104.9,100.7,102.8,41042,4.2,2.1
12-05-2020,101.45,101.45,97.25,99.9,35851,4.2,1.55
11-05-2020,104,104.8,100.4,100.8,26353,4.4,3.2
