User Rating,User Review,User Name,Review Date,DateOfReview,FinalText,FinalTextSentimentNegative,FinalTextSentimentPositive,FinalTextSentimentNeutral,FinalTextSentimentCompound,FinalTextSentiment,UserReviewSentimentNegative,UserReviewSentimentPositive,UserReviewSentimentNeutral,UserReviewSentimentCompound,UserReviewSentiment
5.0,very good product & excellently packed & delivered well before due date.what else can a customer expect. The rate of the item is also very competitive.I really appreciate the thorough & professional approach of Flipkart.Thanks Flipkart.,vijay narendra,8months ago,2019-12-03,good product excellently pack deliver well due date else customer expect The rate item also competitive I really appreciate thorough professional approach Flipkart Thanks Flipkart,0.0,0.468,0.532,0.9402,pos,0.0,0.283,0.717,0.9127,pos
5.0,Just delivered today superb service and the product was really good ..packaging... secondary packaging everything.... on time delivery..... and just I am checking it and it is work perfectly... totally good Thank you Flipkart....,Sanju Saji,9months ago,2019-11-03,Just deliver today superb service product really good packaging secondary packaging everything time delivery I check work perfectly totally good Thank Flipkart,0.0,0.507,0.493,0.955,pos,0.0,0.376,0.624,0.955,pos
4.0,"It's a decent juicer mixer grinder. On my first purchase I received the mixer with broken regulator, flipkart and the seller were quick to respond to the replacement request and replacement was provided within 2 days! The build quality of the mixer seems like cheap plastic and the finishing could be better. Apart from this, the mixer works pretty well and the jars are of good quality.",Nishitha,27days ago,2020-07-07,It decent juicer mixer grinder On first purchase I receive mixer broken regulator flipkart seller quick respond replacement request replacement provide within 2 day The build quality mixer seem like cheap plastic finishing could good Apart mixer work pretty well jar good quality,0.058,0.253,0.689,0.8591,pos,0.04,0.178,0.782,0.8687,pos
5.0,"It is so good, that I brought it for many of my relatives. The machine is powerful and the jars are very hard and easy to grind. And the juicer looks so good and everything works well. I am glad with it and will recommend to everyone one to purchase. Thank you.",Arghya  Dey,8months ago,2019-12-03,It good I bring many relative The machine powerful jar hard easy grind And juicer look good everything work well I glad recommend everyone one purchase Thank,0.034,0.527,0.439,0.9595,pos,0.025,0.345,0.63,0.9676,pos
5.0,It's Bauityfly Rapid 4 jar 750 Watts 750 W Juicer very nice product and great service From Tipcart services good quality product...,SAGAR BAWANKAR,9months ago,2019-11-03,It Bauityfly Rapid 4 jar 750 Watts 750 W Juicer nice product great service From Tipcart service good quality product,0.0,0.366,0.634,0.8689,pos,0.0,0.347,0.653,0.8777,pos
5.0,Amazing Juicer Grinder and Mixer !! Affordable price and beautiful look . Amazing Power.....Definitely go for it !!,Pushkar Kumar,1month ago,2020-07-03,Amazing Juicer Grinder Mixer Affordable price beautiful look Amazing Power Definitely go,0.0,0.64,0.36,0.9349,pos,0.0,0.458,0.542,0.9283,pos
5.0,"original photo for grinder looking is very nice steel I,am satisfied thank you flancard rs 2349 good i use after again put feedbackvery good workingSamall jar stating leaking",Raghvindr Singh,9months ago,2019-11-03,original photo grinder look nice steel I satisfied thank flancard rs 2349 good use put feedbackvery good workingSamall jar state leak,0.074,0.497,0.429,0.9153,pos,0.0,0.428,0.572,0.9381,pos
4.0,Great purchase... Mixer is working well and all the 4 jars are perfectly working... juicer jar is the most pretty.. the only Con I noticed is the big sound but considering that this is a 750 watt mixer it is okay... Packing and delivery was perfect thanks to Flipkart.,PRANAV M,"Jan, 2019",2019-01-03,Great purchase Mixer work well 4 jar perfectly work juicer jar pretty Con I notice big sound consider 750 watt mixer okay Packing delivery perfect thanks Flipkart,0.0,0.525,0.475,0.9686,pos,0.0,0.325,0.675,0.9595,pos
5.0,best product .sound is very low.I am very satisfied with this product fantastic work .,ranjit pandit,"Nov, 2018",2018-11-03,best product sound low I satisfied product fantastic work,0.119,0.599,0.282,0.8591,pos,0.0,0.476,0.524,0.8977,pos
5.0,Awesome product as per my wife this one is incredible if my wife tell this I believe her because I bought her international level products like pauline made in Japan and other famous brand Brain she told me that this beat all off them thanks to butterfly company,Javed Khan,1month ago,2020-07-03,Awesome product per wife one incredible wife tell I believe I buy international level product like pauline make Japan famous brand Brain tell beat thanks butterfly company,0.0,0.284,0.716,0.8591,pos,0.0,0.174,0.826,0.8591,pos
5.0,"First Thing first ...Delivery was very fast and on time within 2 days .      Now The Product is very Good we can say it worth for a single penny which you spend for this product, The Plastic quality is very good With high power Motor of 750w. The Wars which they provide is Best in Price......       Thank you Flipkart for this Good Product .....,",Shivam  Dwivedi ,"May, 2019",2019-05-03,First Thing first Delivery fast time within 2 day Now The Product Good say worth single penny spend product The Plastic quality good With high power Motor 750w The Wars provide Best Price Thank Flipkart Good Product,0.071,0.34,0.589,0.9136,pos,0.046,0.233,0.722,0.9295,pos
