User Rating,User Review,User Name,Review Date,DateOfReview,FinalText,FinalTextSentimentNegative,FinalTextSentimentPositive,FinalTextSentimentNeutral,FinalTextSentimentCompound,FinalTextSentiment,UserReviewSentimentNegative,UserReviewSentimentPositive,UserReviewSentimentNeutral,UserReviewSentimentCompound,UserReviewSentiment
5.0,Superb,Shaik Allahvali,7days ago,2020-07-27,Superb,0.0,1.0,0.0,0.6249,pos,0.0,1.0,0.0,0.6249,pos
4.0,Good one,B. Sheshidhar Reddy,22days ago,2020-07-12,Good one,0.0,0.744,0.256,0.4404,pos,0.0,0.744,0.256,0.4404,pos
5.0,Good Oolites,Suman karan,25days ago,2020-07-09,Good Oolites,0.0,0.744,0.256,0.4404,neg,0.0,0.744,0.256,0.4404,neg
3.0,Bad product do not buy,Aswin Adarsh,1month ago,2020-07-03,Bad product buy,0.636,0.0,0.364,-0.5423,pos,0.467,0.0,0.533,-0.5423,pos
5.0,Nice product and good quality,Flipkart Customer,1month ago,2020-07-03,Nice product good quality,0.0,0.74,0.26,0.6908,neg,0.0,0.655,0.345,0.6908,neg
3.0,It's slightly defect,Flipkart Customer,1month ago,2020-07-03,It slightly defect,0.513,0.0,0.487,-0.2748,pos,0.513,0.0,0.487,-0.2748,pos
3.0,Good tawa,Sk sujat Sujat,1month ago,2020-07-03,Good tawa,0.0,0.744,0.256,0.4404,pos,0.0,0.744,0.256,0.4404,pos
4.0,Worth price,Flipkart Customer,5months ago,2020-03-03,Worth price,0.0,0.655,0.345,0.2263,pos,0.0,0.655,0.345,0.2263,pos
5.0,Very good product,MOHAN BABU,5months ago,2020-03-03,Very good product,0.0,0.615,0.385,0.4927,pos,0.0,0.615,0.385,0.4927,pos
3.0,good,Anjali Ray,5months ago,2020-03-03,good,0.0,1.0,0.0,0.4404,pos,0.0,1.0,0.0,0.4404,pos
5.0,good,Udaya Kumar,6months ago,2020-02-03,good,0.0,1.0,0.0,0.4404,pos,0.0,1.0,0.0,0.4404,pos
4.0,Good Product..,Yugandhar Kumar Mavuri,2months ago,2020-06-03,Good Product,0.0,0.744,0.256,0.4404,pos,0.0,0.744,0.256,0.4404,pos
3.0,Nice good quality,Praveen  Sharma,Today,2020-08-03,Nice good quality,0.0,0.851,0.149,0.6908,pos,0.0,0.851,0.149,0.6908,pos
4.0,Okay nice,Flipkart Customer,Today,2020-08-03,Okay nice,0.0,1.0,0.0,0.5719,pos,0.0,1.0,0.0,0.5719,pos
4.0,Good product ,Sikandra Kumar,Today,2020-08-03,Good product,0.0,0.744,0.256,0.4404,pos,0.0,0.744,0.256,0.4404,pos
5.0,"Amazing product with this prise range, built-in material, colour, quality and design looks eligent! Very application to purchase in my favorite application flipkart- clipart ",Flipkart Customer,1day ago,2020-08-02,Amazing product prise range build material colour quality design look eligent Very application purchase favorite application flipkart clipart,0.0,0.306,0.694,0.7943,pos,0.0,0.244,0.756,0.7959,pos
4.0,good product,Flipkart Customer,1day ago,2020-08-02,good product,0.0,0.744,0.256,0.4404,pos,0.0,0.744,0.256,0.4404,pos
3.0,Good,Venkatesh Obadina,1day ago,2020-08-02,Good,0.0,1.0,0.0,0.4404,pos,0.0,1.0,0.0,0.4404,pos
5.0,Thanks Up,Patiram Yadav,1day ago,2020-08-02,Thanks Up,0.0,0.744,0.256,0.4404,pos,0.0,0.744,0.256,0.4404,pos
4.0,Good,Flipkart Customer,1day ago,2020-08-02,Good,0.0,1.0,0.0,0.4404,pos,0.0,1.0,0.0,0.4404,pos
5.0,Good product with low budget,Flipkart Customer,1day ago,2020-08-02,Good product low budget,0.3,0.414,0.286,0.2023,pos,0.263,0.362,0.375,0.2023,pos
5.0,Good,Venkata Miriyala,1day ago,2020-08-02,Good,0.0,1.0,0.0,0.4404,pos,0.0,1.0,0.0,0.4404,pos
4.0,Nice,Flipkart Customer,2days ago,2020-08-01,Nice,0.0,1.0,0.0,0.4215,pos,0.0,1.0,0.0,0.4215,pos
4.0,Nice product ,vinay kumar,3days ago,2020-07-31,Nice product,0.0,0.737,0.263,0.4215,pos,0.0,0.737,0.263,0.4215,pos
4.0,Very good one,Tanima Das,3days ago,2020-07-31,Very good one,0.0,0.615,0.385,0.4927,pos,0.0,0.615,0.385,0.4927,pos
4.0,super quality and good non stick coating...,Krishna Rockey,3days ago,2020-07-31,super quality good non stick coating,0.0,0.63,0.37,0.7783,pos,0.0,0.576,0.424,0.7783,pos
3.0,Ok good,Dileepeb Eb,3days ago,2020-07-31,Ok good,0.0,1.0,0.0,0.6249,pos,0.0,1.0,0.0,0.6249,pos
5.0,Nice,Kannan Ganesan,3days ago,2020-07-31,Nice,0.0,1.0,0.0,0.4215,pos,0.0,1.0,0.0,0.4215,pos
4.0,Good worthy to buy.....,Mohammed Shaik Razaque,3days ago,2020-07-31,Good worthy buy,0.0,0.853,0.147,0.7003,pos,0.0,0.744,0.256,0.7003,pos
4.0,Good  but peri,Flipkart Customer,3days ago,2020-07-31,Good peri,0.0,0.744,0.256,0.4404,neu,0.0,0.494,0.506,0.2382,neu
4.0,"Handle is not angular, it touches induction cooker.",Sujit Karmakar,3days ago,2020-07-31,Handle angular touch induction cooker,0.0,0.0,1.0,0.0,pos,0.0,0.0,1.0,0.0,pos
5.0,Good product with good price,Syed Amrin taj,3days ago,2020-07-31,Good product good price,0.0,0.744,0.256,0.7003,neu,0.0,0.659,0.341,0.7003,pos
3.0,It's average...not good and not bad,Rahul Agrawal,3days ago,2020-07-31,It average good bad,0.417,0.345,0.238,-0.1531,pos,0.0,0.59,0.41,0.6956,pos
5.0,Best products,THAKUR DHIRENDRA KUMAR,3days ago,2020-07-31,Best product,0.0,0.808,0.192,0.6369,pos,0.0,0.808,0.192,0.6369,pos
5.0,Wow ! It's Worth of money,Flipkart Customer,3days ago,2020-07-31,Wow It Worth money,0.0,0.74,0.26,0.6908,pos,0.0,0.6,0.4,0.7177,pos
5.0,Super,rama krishna,4days ago,2020-07-30,Super,0.0,1.0,0.0,0.5994,pos,0.0,1.0,0.0,0.5994,pos
4.0,Good product,Vishnu pamireddy Vishnu vardhan,4days ago,2020-07-30,Good product,0.0,0.744,0.256,0.4404,pos,0.0,0.744,0.256,0.4404,pos
5.0,Very good,Siraj  Siraj basha,4days ago,2020-07-30,Very good,0.0,0.762,0.238,0.4927,pos,0.0,0.762,0.238,0.4927,pos
4.0,Good,Rajesh Kumar,4days ago,2020-07-30,Good,0.0,1.0,0.0,0.4404,pos,0.0,1.0,0.0,0.4404,pos
4.0,Good,Hemanth kumar BL,4days ago,2020-07-30,Good,0.0,1.0,0.0,0.4404,pos,0.0,1.0,0.0,0.4404,pos
5.0,Very nice... worth :),Harsha R,4days ago,2020-07-30,Very nice worth,0.0,0.841,0.159,0.6453,pos,0.0,0.895,0.105,0.8193,pos
4.0,Good one in this price.,YAKOB KRISTOPHAR  KRISTOPHAR ,4days ago,2020-07-30,Good one price,0.0,0.592,0.408,0.4404,pos,0.0,0.42,0.58,0.4404,pos
5.0,Stoper quality really instant message happy love you flipkart,Poornima Iyer,5days ago,2020-07-29,Stoper quality really instant message happy love flipkart,0.0,0.576,0.424,0.8467,pos,0.0,0.538,0.462,0.8467,pos
5.0,"Nice chennagide tholi... Good best yoyo can byoyoy for this rate, non stick and yoyo can also yoyose to cyoyorrent stove",Flipkart Customer,5days ago,2020-07-29,Nice chennagide tholi Good best yoyo byoyoy rate non stick yoyo also yoyose cyoyorrent stave,0.0,0.559,0.441,0.8934,pos,0.0,0.443,0.557,0.8934,pos
5.0,It's awesome product i like it,Gangadhar ganga,5days ago,2020-07-29,It awesome product like,0.0,0.767,0.233,0.765,pos,0.0,0.623,0.377,0.765,pos
4.0,Good,Uma,5days ago,2020-07-29,Good,0.0,1.0,0.0,0.4404,pos,0.0,1.0,0.0,0.4404,pos
5.0,Nice,Flipkart Customer,5days ago,2020-07-29,Nice,0.0,1.0,0.0,0.4215,pos,0.0,1.0,0.0,0.4215,pos
5.0,This product is good,Chandru Jiiva,6days ago,2020-07-28,This product good,0.0,0.592,0.408,0.4404,pos,0.0,0.492,0.508,0.4404,pos
5.0,Nice quality,Flipkart Customer,6days ago,2020-07-28,Nice quality,0.0,0.737,0.263,0.4215,pos,0.0,0.737,0.263,0.4215,pos
4.0,nice product,Himangsho Kalita,6days ago,2020-07-28,nice product,0.0,0.737,0.263,0.4215,pos,0.0,0.737,0.263,0.4215,pos
4.0,Value for money,Gaurav  Trikarwar,6days ago,2020-07-28,Value money,0.0,0.706,0.294,0.34,pos,0.0,0.545,0.455,0.34,pos
4.0,Good,Srinivasa rao  Kavuru,6days ago,2020-07-28,Good,0.0,1.0,0.0,0.4404,pos,0.0,1.0,0.0,0.4404,pos
4.0,Strong product also beautiful highly recommended,Santhosh Lal,6days ago,2020-07-28,Strong product also beautiful highly recommend,0.0,0.769,0.231,0.8748,pos,0.0,0.756,0.244,0.8516,pos
5.0,Nice product,Flipkart Customer,6days ago,2020-07-28,Nice product,0.0,0.737,0.263,0.4215,pos,0.0,0.737,0.263,0.4215,pos
